epoch,loss,val_loss
0,nan,nan
0,nan,nan
0,nan,nan
0,nan,nan
0,nan,nan
0,nan,nan
0,875434.2600199381,6.2509613037109375
1,112.37465286254883,6.140295505523682
2,28.565806070963543,6.072381496429443
3,17.91131528218587,6.020702838897705
4,13.90649382273356,5.977416038513184
5,13.341919898986816,5.939254283905029
6,14.110842068990072,5.905714511871338
7,16.200167655944824,5.874844074249268
8,14.15780512491862,5.846341609954834
9,13.500301043192545,5.820312976837158
10,13.475131034851074,5.796167373657227
11,13.343583742777506,5.773820877075195
0,1934044.7030639648,6.194754600524902
0,27479.203752994537,5.881406784057617
0,157346950.98420715,6.286327838897705
0,4104992993.5482116,6.192070007324219
1,4795745.83369751,6.05935001373291
2,53.678355026245114,5.99094820022583
3,14.845484924316406,5.944839954376221
4,13.41438159942627,5.909453868865967
5,15.556192016601562,5.879905700683594
6,13.586752700805665,5.854663372039795
7,13.20848503112793,5.833393573760986
8,13.39300994873047,5.814761638641357
9,13.090212059020995,5.798971176147461
